Name,Northing,Easting,Elevation,Description,,,Date Taken
1453,5011.55201,5000.591612,99.012317,EL_C2_32_N,,,13/07/2012
1454,5010.902603,5001.318033,98.985844,EL_C2_32A_E,,,13/07/2012
1455,5010.174929,5000.642138,98.949451,EL_C2_32A_S,,,13/07/2012
1456,5010.825632,4999.932912,98.998384,EL_C2_32_W,,,13/07/2012
1457,5010.931856,5000.671252,99.001108,EL_C2_32_C,,,13/07/2012
1458,5012.338519,5001.233491,99.011782,EL_D2_32_N,,,13/07/2012
1459,5011.58439,5000.62155,99.014829,EL_D2_32_W,,,13/07/2012
1460,5011.679854,5001.240639,99.014601,EL_D2_32_C,,,13/07/2012
1461,5011.650139,5001.943824,98.970385,EL_D2_32A_E,,,13/07/2012
1462,5010.994342,5001.267293,98.986414,EL_D2_32A_S,,,13/07/2012
1463,5011.462696,4999.166763,98.962122,EL_B3_32_N,,,13/07/2012
1464,5010.795927,4999.880701,98.932969,EL_B3_32_E,,,13/07/2012
1465,5010.842659,4998.536985,98.974136,EL_B3_32_W,,,13/07/2012
1466,5010.863797,4999.113378,98.945254,EL_B3_32_C,,,13/07/2012
1467,5011.439123,5002.213154,98.968222,PF_D1_32_AF15,,,13/07/2012
1468,5011.84988,4997.515354,99.059229,PF_RJS89_SCT_W,,,13/07/2012
1469,5010.898505,4998.509866,99.031951,PF_RJS89_SCT_E,,,13/07/2012
1470,5012.297781,4997.956711,99.067223,PF_RJS89_SCT_N,,,13/07/2012
1471,5010.234585,5000.959474,98.948482,PF_C1_32_L1345,,,13/07/2012
1472,5010.401604,5001.21462,98.989041,PF_C1_32_L1346,,,13/07/2012
1473,5010.486453,5001.262403,98.985552,PF_C1_32_L1347,,,13/07/2012
1474,5011.281908,5002.094355,98.969464,PF_D1_32_L1348,,,13/07/2012
1475,5011.115709,5001.505906,98.999394,PF_D1_32_L1349,,,13/07/2012
1476,5011.113005,5001.503067,98.985578,PF_D1_32_L1350,,,13/07/2012
1477,5010.849901,5001.412035,99.026845,PF_D1_32_L1351,,,13/07/2012
1478,5010.457535,5001.210998,98.969102,PF_C1_32_HM311,,,13/07/2012
1479,5010.863288,5001.369032,98.986761,PF_C1_32_L1352,,,13/07/2012
1480,5010.588522,5001.164128,98.961944,PF_C1_32_AXE6_N,,,13/07/2012
1481,5010.492797,5001.350855,98.965974,PF_C1_32_AXE6_N,,,13/07/2012
1482,5010.658759,5001.439457,98.972239,PF_C1_32_AXE6_N,,,13/07/2012
1483,5010.822195,5001.290085,98.977003,PF_C1_32_AXE6_N,,,13/07/2012
1484,5011.632343,5001.999432,98.964279,EL_D1_32_N,,,13/07/2012
1485,5010.914441,5001.368166,98.987602,EL_D1_32_W,,,13/07/2012
1486,5011.013066,5001.922388,98.975727,EL_D1_32_C,,,13/07/2012
1487,5010.870023,5001.305333,98.976336,EL_C1_32_N,,,13/07/2012
1488,5010.181849,5000.72335,98.945077,EL_C1_32_W,,,13/07/2012
1489,5010.236666,5001.234952,98.969285,EL_C1_32_C,,,13/07/2012
1490,5011.85624,5002.332895,100.803832,BR,,,13/07/2012
1491,5011.903438,5002.216302,100.97664,BR,,,13/07/2012
1492,5011.947738,5002.111227,101.152451,BR,,,13/07/2012
1493,5011.975016,5002.04697,101.274933,BR,,,13/07/2012
1494,5012.078183,5001.803585,101.455264,BR,,,13/07/2012
1495,5012.077539,5001.805295,101.517097,BR,,,13/07/2012
1496,5012.154263,5001.624249,101.702245,BR,,,13/07/2012
1497,5012.299406,5001.281809,101.868842,BR,,,13/07/2012
1498,5012.31077,5001.255006,101.974394,BR,,,13/07/2012
1499,5012.296716,5001.285198,101.85775,BR,,,13/07/2012
1500,5012.309351,5001.255614,102.010742,BR,,,13/07/2012
1501,5012.381906,5001.084851,102.122799,BR,,,13/07/2012
1502,5012.420214,5000.99453,102.206369,BR,,,13/07/2012
1503,5012.455607,5000.911075,102.317518,BR,,,13/07/2012
1504,5012.516365,5000.767862,102.423272,BR,,,13/07/2012
1505,5012.549864,5000.688898,102.541423,BR,,,13/07/2012
1506,5012.576471,5000.626159,102.592008,BR,,,13/07/2012
1507,5012.631878,5000.495557,102.60789,BR,,,13/07/2012
1508,5012.662886,5000.42245,102.674773,BR,,,13/07/2012
1509,5012.741698,5000.236661,102.718677,BR,,,13/07/2012
1510,5012.760814,5000.191592,102.805907,BR,,,13/07/2012
1511,5012.809529,5000.076763,102.861215,BR,,,13/07/2012
1512,5012.862842,4999.951077,102.931959,BR,,,13/07/2012
1513,5012.898803,4999.866311,102.995151,BR,,,13/07/2012
1514,5012.91008,4999.839703,103.069669,BR,,,13/07/2012
1515,5012.944396,4999.758874,103.084658,BR,,,13/07/2012
1516,5012.997849,4999.632886,103.099131,BR,,,13/07/2012
1517,5013.020345,4999.579789,103.154286,BR,,,13/07/2012
1518,5013.093276,4999.407881,103.15885,BR,,,13/07/2012
1519,5013.099801,4999.392482,103.261229,BR,,,13/07/2012
1520,5013.120192,4999.344446,103.319314,BR,,,13/07/2012
1521,5013.149828,4999.275583,103.43004,BR,,,13/07/2012
1522,5013.157923,4999.256477,103.473307,BR,,,13/07/2012
1523,5013.166579,4999.236054,103.510066,BR,,,13/07/2012
1524,5013.170447,4999.226901,103.584644,BR,,,13/07/2012
