Name,Northing,Easting,Elevation,Description,Description_2,Square,Spit,Plotted_Find,PF,Number,,,
717,5011.464462,5001.070478,100.471303,PF_D2_6_HB137,Plotted Finds,D2,6,Human Bone,HB,137,,,
718,5011.608095,5001.066403,100.431665,PF_D2_6_HB137,Plotted Finds,D2,6,Human Bone,HB,137,,,
736,5011.710634,5000.994489,100.419773,PF_D2_6_HB138,Plotted Finds,D2,6,Human Bone,HB,138,,,
737,5011.571792,5001.000235,100.447077,PF_D2_6_HB139,Plotted Finds,D2,6,Human Bone,HB,139,,,
738,5011.493046,5001.028605,100.470243,PF_D2_6_HB140,Plotted Finds,D2,6,Human Bone,HB,140,,,
739,5011.572878,5001.200184,100.440599,PF_D2_6_HB141,Plotted Finds,D2,6,Human Bone,HB,141,,,
740,5011.628631,5001.213827,100.425097,PF_D2_6_HB142,Plotted Finds,D2,6,Human Bone,HB,142,,,
741,5011.691837,5000.927367,100.441181,PF_D2_6_HB143,Plotted Finds,D2,6,Human Bone,HB,143,,,
742,5011.689254,5000.487637,100.518409,PF_C3_6_HB144,Plotted Finds,C3,6,Human Bone,HB,144,,,
743,5011.547355,5000.522389,100.467631,PF_C3_6_HB145,Plotted Finds,C3,6,Human Bone,HB,145,,,
744,5011.648876,5000.933752,100.448745,PF_D2_6_HB146,Plotted Finds,D2,6,Human Bone,HB,146,,,
745,5011.619529,5000.884218,100.434525,PF_D2_6_HB147,Plotted Finds,D2,6,Human Bone,HB,147,,,
746,5010.362883,4999.077451,100.221761,PF_B3_HB148,Plotted Finds,B3,,Human Bone,HB,148,,,
749,5011.328436,5000.378188,100.460272,PF_C3_6_HB149,Plotted Finds,C3,6,Human Bone,HB,149,,,
