Spit,Mass,,,
28,10.54,,,
28,12.3,,,
28,12.36,,,
28,12.76,,,
28,13.3,,,
28,13.62,,,
28,14.2,,,
28,14.2,,,
28,14.21,,,
28,14.41,,,
28,14.61,,,
28,14.95,,,
28,15.17,,,
28,15.21,,,
28,15.37,,,
28,15.56,,,
28,15.67,,,
28,16.08,,,
28,16.29,,,
28,17.25,,,
28,17.26,,,
28,18.3,,,
28,19.16,,,
28,19.4,,,
28,20.07,,,
28,20.36,,,
28,22.37,,,
28,23.01,,,
28,23.38,,,
28,23.52,,,
28,23.55,,,
28,24.09,,,
28,24.55,,,
28,25.59,,,
28,29.61,,,
28,37.68,,,
28,45.43,,,
28,48.79,,,
28,51.36,,,
28,59.04,,,
28,100.92,,,
28,152.17,,,
29,1.21,,,
29,1.24,,,
29,1.31,,,
29,1.36,,,
29,1.4,,,
29,1.56,,,
29,1.59,,,
29,1.68,,,
29,1.8,,,
29,1.88,,,
29,1.9,,,
29,2,,,
29,2.01,,,
29,2.02,,,
29,2.09,,,
29,2.1,,,
29,2.16,,,
29,2.21,,,
29,2.23,,,
29,2.26,,,
29,2.32,,,
29,2.33,,,
29,2.34,,,
29,2.34,,,
29,2.41,,,
29,2.46,,,
29,2.52,,,
29,2.61,,,
29,2.62,,,
29,2.69,,,
29,2.69,,,
29,2.71,,,
29,2.71,,,
29,2.73,,,
29,2.73,,,
29,2.74,,,
29,2.74,,,
29,2.75,,,
29,2.76,,,
29,2.78,,,
29,2.79,,,
29,2.88,,,
29,2.92,,,
29,2.94,,,
29,2.94,,,
29,3.02,,,
29,3.07,,,
29,3.12,,,
29,3.18,,,
29,3.24,,,
29,3.28,,,
29,3.32,,,
29,3.42,,,
29,3.52,,,
29,3.53,,,
29,3.56,,,
29,3.61,,,
29,3.61,,,
29,3.67,,,
29,3.8,,,
29,3.82,,,
29,3.89,,,
29,3.94,,,
29,4.2,,,
29,4.32,,,
29,4.37,,,
29,4.54,,,
29,4.59,,,
29,4.62,,,
29,4.64,,,
29,4.65,,,
29,4.72,,,
29,4.77,,,
29,4.79,,,
29,4.81,,,
29,4.82,,,
29,4.82,,,
29,4.83,,,
29,4.95,,,
29,4.96,,,
29,5.03,,,
29,5.03,,,
29,5.07,,,
29,5.12,,,
29,5.15,,,
29,5.2,,,
29,5.27,,,
29,5.27,,,
29,5.28,,,
29,5.28,,,
29,5.38,,,
29,5.38,,,
29,5.44,,,
29,5.65,,,
29,5.69,,,
29,5.7,,,
29,5.7,,,
29,5.75,,,
29,5.79,,,
29,5.84,,,
29,5.85,,,
29,5.88,,,
29,5.91,,,
29,5.96,,,
29,6.08,,,
29,6.09,,,
29,6.14,,,
29,6.2,,,
29,6.43,,,
29,6.44,,,
29,6.56,,,
29,6.62,,,
29,6.62,,,
29,6.65,,,
29,6.7,,,
29,6.74,,,
29,6.75,,,
29,6.81,,,
29,6.91,,,
29,6.98,,,
29,7.05,,,
29,7.17,,,
29,7.24,,,
29,7.32,,,
29,7.37,,,
29,7.46,,,
29,7.77,,,
29,7.92,,,
29,7.96,,,
29,7.98,,,
29,8.11,,,
29,8.15,,,
29,8.21,,,
29,8.27,,,
29,8.32,,,
29,8.35,,,
29,8.59,,,
29,8.64,,,
29,8.68,,,
29,9.04,,,
29,9.06,,,
29,9.09,,,
29,9.17,,,
29,9.36,,,
29,9.51,,,
29,9.73,,,
29,9.77,,,
29,9.97,,,
29,10.01,,,
29,10.05,,,
29,10.26,,,
29,10.4,,,
29,11.08,,,
29,11.08,,,
29,11.18,,,
29,11.42,,,
29,11.59,,,
29,11.62,,,
29,11.72,,,
29,11.88,,,
29,12.02,,,
29,12.1,,,
29,12.53,,,
29,13.05,,,
29,13.05,,,
29,13.44,,,
29,13.52,,,
29,13.7,,,
29,13.78,,,
29,13.79,,,
29,13.87,,,
29,14.07,,,
29,14.11,,,
29,14.15,,,
29,14.3,,,
29,14.31,,,
29,14.39,,,
29,14.48,,,
29,14.57,,,
29,14.65,,,
29,15.31,,,
29,15.48,,,
29,15.65,,,
29,16.26,,,
29,17.1,,,
29,17.51,,,
29,17.66,,,
29,17.98,,,
29,18.09,,,
29,19.21,,,
29,19.26,,,
29,19.66,,,
29,20.39,,,
29,20.86,,,
29,21.07,,,
29,21.26,,,
29,23.67,,,
29,23.97,,,
29,24.1,,,
29,24.27,,,
29,24.37,,,
29,24.94,,,
29,25.12,,,
29,25.8,,,
29,26.3,,,
29,29.15,,,
29,29.19,,,
29,29.86,,,
29,30.11,,,
29,31.98,,,
29,33.53,,,
29,35.8,,,
29,39.26,,,
29,40.45,,,
29,41.13,,,
29,44.34,,,
29,56.93,,,
29,61.22,,,
29,81.62,,,
29,95.19,,,
29,128.12,,,
29,132.05,,,
29,133,,,
29,333.36,,,
29,457.98,,,
29,2414.29,,,
30,5.3,,,
30,9.55,,,
30,26.75,,,
30,32.06,,,
30,32.61,,,
30,35.32,,,
30,37.18,,,
30,37.49,,,
30,39.01,,,
30,43.87,,,
30,52.42,,,
30,52.58,,,
30,59.46,,,
30,63.35,,,
30,64.14,,,
30,73.01,,,
30,93.8,,,
30,224.55,,,
31,2.63,,,
31,3.97,,,
