Name,Northing,Easting,Elevation,Description,Date Taken
856,5011.697288,5002.072219,100.276372,PF_E1_9_R50,26/06/2012
857,5011.505602,5002.112808,100.268607,PF_E1_9_R50,26/06/2012
858,5011.543177,5002.269373,100.250643,PF_E1_9_R50,26/06/2012
859,5011.605031,5002.163552,100.266958,PF_E1_9_R50,26/06/2012
860,5011.721934,5002.368223,100.381447,PF_E1_9_R51,26/06/2012
861,5011.876343,5002.215334,100.391179,PF_E1_9_R52,26/06/2012
862,5011.693685,5002.115294,100.317643,PF_E1_9_R52,26/06/2012
863,5011.644392,5002.276565,100.334523,PF_E1_9_R52,26/06/2012
864,5011.784509,5002.339154,100.371404,PF_E1_9_R52,26/06/2012
865,5011.752476,5002.239292,100.360837,PF_E1_9_R52,26/06/2012
866,5011.865663,5002.224849,100.328401,PF_E1_9_R52,26/06/2012
867,5011.770544,5002.131804,100.298591,PF_E1_9_R52,26/06/2012
868,5011.685875,5002.174124,100.276603,PF_E1_9_R52,26/06/2012
869,5011.652172,5002.290422,100.277079,PF_E1_9_R52,26/06/2012
870,5011.800856,5002.323839,100.310961,PF_E1_9_R52,26/06/2012
871,5011.756255,5002.240563,100.296552,PF_E1_9_R52,26/06/2012
872,5011.859265,4999.98753,100.38258,PF_C3_SR2_LHUMP,26/06/2012
873,5011.780568,4999.676693,100.292266,PF_C3_SR2_LHUMD,26/06/2012
874,5011.928705,5002.288208,100.302752,EL_E1_9_N,26/06/2012
875,5011.672964,5002.311139,100.282738,EL_E1_9_E,26/06/2012
876,5011.695093,5002.001399,100.288896,EL_E1_9_W,26/06/2012
877,5012.532459,5001.760739,100.303374,PF_E2_10_HB576,26/06/2012
878,5012.342388,5001.969017,100.28547,PF_E2_10_L173,26/06/2012
CP1,5016.3993,5006.6107,100.37,control point,26/06/2012
TBM03,5020.3993,5003.6107,100.795,TBM03,26/06/2012
TBM04,5009.3993,4996.6107,100.754,TBM04,26/06/2012
879,5011.280558,4985.476932,100.529557,CHECK 270612,27/06/2012
880,5011.26683,5000.407867,100.215543,PF_C3_SR14_HB577,27/06/2012
881,5011.661251,5002.337962,100.268587,PF_E2_10_L175,27/06/2012
882,5011.978979,5001.879955,100.262153,PF_E2_10_HM74,27/06/2012
883,5012.669888,5001.92456,100.298312,EL_E2_10_N,27/06/2012
884,5012.271826,5002.407681,100.281948,EL_E2_10_E,27/06/2012
885,5011.381043,5001.967167,99.696448,EL_E2_10_S,27/06/2012
886,5012.059713,5001.360516,100.273972,EL_E2_10_W,27/06/2012
887,5012.183047,5001.951744,100.261576,EL_E2_10_C,27/06/2012
CP1,5016,5006,100.37,control point,27/06/2012
TBM03,5020,5003,100.795,TBM03,27/06/2012
TBM04,5009,4996,100.754,TBM04,27/06/2012
888,5010.876899,4984.917309,100.520734,CHECK,30/06/2012
889,5015.778418,4982.319308,100.10886,CHECK,30/06/2012
890,5010.87302,4984.91597,100.518911,CHECK,30/06/2012
891,5011.948861,5001.922857,100.156881,PF_E2_12_HM82,30/06/2012
892,5011.902474,5001.928722,100.143026,PF_E2_12_L239,30/06/2012
893,5011.726689,5001.860084,100.140865,PF_E2_12_HM83,30/06/2012
894,5011.858182,5001.84517,100.1324,PF_E2_12_L240,30/06/2012
895,5011.887402,5001.917625,100.140203,E_E2_12_E,30/06/2012
896,5012.452567,5001.376669,100.176651,EL_E2_12_N,30/06/2012
897,5011.804923,5000.846603,100.141165,EL_E2_12_W,30/06/2012
898,5011.258412,5001.21134,100.125755,EL_E2_12_S,30/06/2012
899,5011.906091,5001.376852,100.141822,EL_E2_12_C,30/06/2012
CP1,5016,5006,100.37,control point,30/06/2012
TBM03,5020,5003,100.795,TBM03,30/06/2012
TBM04,5009,4996,100.754,TBM04,30/06/2012
900,5011.28391,4985.529928,100.530662,CHECK 010712,1/07/2012
901,5009.476486,4999.32004,100.284883,BR,1/07/2012
