Name,Northing ,Eastig,Elevation,Description,,Date Taken
2632,5011.124676,4999.106049,100.21192,PF_B3_13_H613,,30/06/2012
2633,5011.419287,4999.106016,100.149606,PF_B3_13_H613,,30/06/2012
2634,5010.849649,4999.893319,100.126637,EL_B3_13_E,,30/06/2012
2635,5011.515539,4999.211146,100.120682,EL_B3_13_N,,30/06/2012
2636,5010.842046,4998.567966,100.127516,EL_B3_13_W,,30/06/2012
2637,5011.029501,4999.334766,100.107194,EL_B3_13_C,,30/06/2012
2638,5011.114631,4999.177024,100.185867,PF_B3_13_HB614,,30/06/2012
2639,5011.106577,4999.155786,100.119769,PF_B3_13_HB614,,30/06/2012
CP1,5016,5006,100.37,control point,,30/06/2012
TBM03,5020,5003,100.795,TBM03,,30/06/2012
