Description,Easting,Northing,Elevation,year,X,Y,Xnew,Ynew,Xnew_flipped,type,square,spit,cnr,find,findn,depth_below_ground_surface
EL_C3_3_N,4999.885492,5012.287659,100.868796,2012,0.696689060634526,-0.11677565911395504,0.5679622668884362,0.42003698070558687,-0.5679622668884362,EL,C3,3,N,,,-0.17558300000000315
EL_C3_3_E,5000.607075,5011.63333,100.860329,2012,1.4182720606340808,-0.7711046591139166,1.5399008300348034,0.48456523496899295,-1.5399008300348034,EL,C3,3,E,,,-0.16711599999999294
EL_C3_3_S,4999.97382,5010.923461,100.866079,2012,0.7850170606343454,-1.4809736591132605,1.6106419683761006,-0.4640767330731713,-1.6106419683761006,EL,C3,3,S,,,-0.17286599999999908
EL_C3_3_W,4999.281053,5011.586759,100.854798,2012,0.09225006063388719,-0.8176756591137746,0.6522689221633574,-0.5016461007263524,-0.6522689221633574,EL,C3,3,W,,,-0.1615850000000023
EL_C3_3_C,4999.976527,5011.613572,100.880702,2012,0.787724060633991,-0.7908626591133725,1.1160980996332608,0.01726190246184167,-1.1160980996332608,EL,C3,3,C,,,-0.18748899999999935
EL_B2_3_N,4999.960352,5010.86993,100.621127,2012,0.7715490606342428,-1.5345046591137361,1.6397932882949582,-0.5109505587335771,-1.6397932882949582,EL,B2,3,N,,,0.07208599999999876
EL_B2_3_E,5000.10964,5010.510786,100.611721,2012,0.9208370606338576,-1.893648659113751,2.0018440203566086,-0.6530441444210341,-2.0018440203566086,EL,B2,3,E,,,0.08149199999999723
EL_B2_3_E,5000.207426,5010.643359,100.615514,2012,1.0186230606341269,-1.7610756591138852,1.9744068484202997,-0.4906098385581579,-1.9744068484202997,EL,B2,3,E,,,0.07769899999999552
EL_B2_3_S,5000.123566,5010.524768,100.613414,2012,0.9347630606343955,-1.8796666591133544,2.001460023735374,-0.6333139050250981,-2.001460023735374,EL,B2,3,S,,,0.07979899999999418
EL_B2_3_W,4999.840067,5010.734061,100.628564,2012,0.6512640606342757,-1.6703736591134657,1.6539722855363381,-0.6918588847529938,-1.6539722855363381,EL,B2,3,W,,,0.06464900000000284
PF_C3_2_HB4,5000.387125,5011.153454,100.633599,2012,1.198322060634382,-1.2509806591133383,1.7323046274794507,-0.007003434297256805,-1.7323046274794507,PF,C3,2,,HB,4,0.05961399999999628
PF_C3_2_L4,5000.176252,5010.780631,100.632148,2012,0.9874490606343898,-1.6238036591139462,1.85400635530775,-0.4176773936641206,-1.85400635530775,PF,C3,2,,L,4,0.06106499999999926
